symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1141,MIYUCoin,?,$0.000056,?,Low Vol,?,-0.18%,15.77%
XBY,243,XTRABYTES,"$7,042,165",$0.016570,"425,000,000",*,"$21,443",1.08%,0.70%
CPN,772,CompuCoin,"$65,933",$0.003361,"19,615,019",Low Vol,-4.31%,4.25%,72.31%
CHEAP,991,Cheapcoin,?,$0.000271,?,*,"$2,220",0.31%,20.49%
BLAS,464,BlakeStar,"$449,030",$0.001845,"243,380,746","$15,596",5.24%,-7.12%,-29.19%
CSNO,205,BitDice,"$10,869,390",$0.155277,"70,000,000",*,"$42,369",0.28%,9.73%
CREVA,858,CrevaCoin,"$23,696",$0.000651,"36,390,750",Low Vol,0.31%,-3.23%,-22.43%
EOS,27,EOS,"$221,901,327",$0.536887,"413,311,044",*,"$7,689,100",-1.55%,-3.37%
SIB,147,SIBCoin,"$20,040,803",$1.28,"15,641,480","$55,017",-0.36%,-3.16%,-4.01%
JWL,831,Jewels,"$36,107",$0.001789,"20,181,636",*,Low Vol,0.31%,-16.04%
XDE2,1064,XDE II,?,$3.21,?,*,Low Vol,0.32%,?
DLISK,838,DAPPSTER,"$34,216",$0.000342,"100,000,000",*,Low Vol,?,?
EOT,428,EOT Token,"$897,033",$0.358813,"2,500,000",*,"$22,561",0.61%,8.65%
ACES,1103,Aces,?,$0.000076,?,*,Low Vol,0.31%,-13.15%
UNIFY,384,Unify,"$1,526,812",$0.086073,"17,738,511",*,"$20,433",-6.78%,-4.68%
GAIA,628,GAIA,"$411,596",$0.017078,"24,101,381",*,Low Vol,0.32%,-8.39%
XBC,288,Bitcoin Plus,"$4,485,659",$44.07,"101,780",*,"$133,123",-0.43%,-11.83%
MAVRO,1098,Mavro,?,$0.006668,?,Low Vol,0.31%,-3.00%,6.73%
LTH,1177,LAthaan,?,$0.000391,?,Low Vol,?,-0.55%,15.75%
KRONE,847,Kronecoin,"$28,044",$0.010875,"2,578,756",Low Vol,0.59%,-3.24%,-29.12%
WA,977,WA Space,?,$0.017620,?,"$6,409",0.31%,6.51%,45.26%
MONA,40,MonaCoin,"$151,151,413",$2.76,"54,712,275","$3,104,290",3.60%,-11.51%,134.87%
CYDER,1028,Cyder,?,$0.000705,?,*,Low Vol,0.31%,4.74%
SPR,319,SpreadCoin,"$3,312,662",$0.370513,"8,940,743","$246,765",-0.47%,-7.26%,-58.08%
BLITZ,292,Blitzcash,"$4,400,701",$1.07,"4,097,678",*,"$94,666",-1.76%,-1.71%
OPES,1067,Opescoin,?,$0.001626,?,Low Vol,0.30%,-13.76%,?
MANA,129,Decentraland,"$24,486,529",$0.010769,"2,273,755,650",*,"$604,842",0.80%,-7.12%
TAG,676,TagCoin,"$169,451",$0.029276,"5,788,041",Low Vol,0.31%,-37.29%,-59.10%
LDOGE,432,LiteDoge,"$816,768",$0.000055,"14,865,570,008",*,$893,1.89%,-21.59%
EXL,1099,Excelcoin,?,$0.000325,?,Low Vol,0.31%,-55.38%,124.47%
TAJ,549,TajCoin,"$41,277",$0.005506,"7,496,466",$746,14.40%,15.16%,15.43%
SNAKE,1000,SnakeEyes,?,$0.039479,?,*,"$1,349",1.91%,0.82%
BTCZ,449,BitcoinZ,"$578,038",$0.002112,"273,700,042","$9,957",-1.46%,2.63%,?
CPC,420,Capricoin,"$1,013,484",$0.509277,"1,990,045",*,"$17,131",0.30%,-7.88%
PWR,916,Powercoin,"$2,710",$0.000054,"49,983,870",Low Vol,0.31%,-3.32%,12.21%
XPM,351,Primecoin,"$2,475,514",$0.117892,"20,998,147","$362,436",1.82%,5.02%,-15.55%
GP,526,GoldPieces,"$104,978",$0.086037,"1,220,161",*,"$1,292",-0.15%,-3.69%
XPTX,509,PlatinumBAR,"$170,630",$0.512553,"332,902","$2,219",-0.70%,-32.56%,-26.72%
IXC,586,Ixcoin,"$1,231,128",$0.058628,"20,999,088",*,Low Vol,0.32%,40.35%
XPA,160,XPlay,"$18,363,300",$0.018363,"1,000,000,000",*,"$41,299",0.09%,-3.05%
BLOCKPAY,645,BlockPay,"$295,840",$0.054500,"5,428,300",*,Low Vol,1.91%,-4.18%
CCRB,416,CryptoCarbon,"$1,049,316",$0.294577,"3,562,111",*,"$60,296",0.53%,-22.92%
NOBL,622,NobleCoin,"$500,578",$0.000217,"2,308,299,538",Low Vol,0.31%,-22.66%,-0.36%
PRIMU,1012,Primulon,?,$0.000213,?,$765,0.26%,2.63%,-30.26%
XPY,668,PayCoin,"$196,563",$0.016644,"11,809,823",Low Vol,0.30%,-5.01%,-3.30%
FEDS,1180,FedoraShare,?,$0.000008,?,*,?,?,?
MIOTA,11,IOTA,"$1,227,687,951",$0.441689,"2,779,530,283",*,"$16,552,400",-0.82%,0.28%
FID,1165,BITFID,?,$0.105460,?,*,Low Vol,?,-5.97%
AION,963,Aion,?,$0.604921,?,*,"$24,700",0.11%,?
FIMK,444,FIMKrypto,"$656,931",$0.001139,"577,004,618",*,$528,-8.42%,-5.17%
BYC,422,Bytecent,"$1,004,566",$0.550771,"1,823,927","$84,370",-1.01%,4.47%,11.60%
IXT,249,iXledger,"$6,725,743",$0.187981,"35,778,844",*,"$47,429",-0.26%,-2.82%
BTCD,58,BitcoinDark,"$108,185,803",$83.94,"1,288,862","$59,945",3.07%,0.68%,-3.07%
